Experiment #,Group,Animal ID#,Immunization time (days),WNV DIII Vaccine (痢),Adjuvant 1 MP7-OH (痢),Adjuvant 2 CpG (痢),WBC (*1000/無),NUET CTs (*1000/無),NEU%,LYM CTs (*1000/無),LYM%,MONO CTs (*1000/無),MONO%,EOS CTs (*1000/無),EOS%,BASO CTs (*1000/無),BASO%,RBC (*10^6/無),HGB (g/dL),HCT %,MCV (fL),MCH (pg),MCHC (g/dL),RDW %,PLT (*1000/無),MPV (fL)
2,4,S2422,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2,4,S2422,28,45,0,60,6.2,1,16.6,4.5,73.4,0.5,8.3,0,0,0.1,1.7,6.4,13,40.6,63.9,20.4,31.9,13.7,553,5.44
2,4,S2422,42,45,0,60,5.3,0.9,16.3,4.2,78.5,0.3,4.9,0,0,0,0.3,6.3,13,40.8,64.6,20.6,31.9,15.2,470,5.14
2,4,S2426,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2,4,S2426,28,45,0,60,6.1,1,16.6,4.5,74.3,0.5,8.5,0,0,0,0.6,6.5,13,40.5,62.7,20.2,32.2,16.3,429,4.59
2,4,S2426,42,45,0,60,6,1.4,24,3.5,57.5,1.1,18,0,0,0,0.4,6.5,13.3,41.2,63.3,20.4,32.3,15.2,437,4.54
2,4,S2428,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2,4,S2428,28,45,0,60,7.41,0.851,11.5,5.63,75.9,0.793,10.7,0,0,0.14,1.89,5.97,12,37.4,62.7,20,32,16.7,438,4.18
2,4,S2428,42,45,0,60,6.32,0.61,9.64,4.84,76.6,0.807,12.8,0,0,0.062,0.982,5.9,11.8,37.5,63.6,20.1,31.6,16.9,506,4.32
2,5,S2411,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2,5,S2411,28,45,21.3,30,3.08,1.2,39.1,1.41,45.9,0.413,13.4,0,0,0.051,1.61,5.79,11.7,36.3,62.6,20.2,32.3,16.2,429,5.19
2,5,S2411,42,45,21.3,30,3.57,0.759,21.3,2.51,70.5,0.283,7.93,0,0,0.01,0.274,5.76,11.6,36.9,64.1,20.1,31.4,16.5,430,5.13
2,5,S2412,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2,5,S2412,28,45,21.3,30,3.77,0.974,25.9,2.33,62,0.411,10.9,0,0,0.046,1.22,5.26,11.6,35.2,67,22,32.8,14.5,402,4.99
2,5,S2412,42,45,21.3,30,3.04,0.977,32.2,1.52,49.9,0.502,16.5,0,0,0.043,1.43,5.37,11.7,36.3,67.7,21.9,32.3,16,357,4.61
2,5,S2419,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
